SPECCD_ID,SCIENTIFIC,COMMON,MARFIS_CODE,MARFIS_COMM,,SPECIES_CODE,SPECIES_NAME,,,,,
287,NOTOSCOPELUS BOLINI,NOTOSCOPELUS BOLINI,,,,,,,,,,
288,ARGENTINIDAE F.,ARGENTINES (NS),,,,,,,,,,
289,CAULOLATILUS SP.,CAULOLATILUS SP.,,,,,,,,,,
290,CLUPEIDAE/OSMERIDAE F.,HERRING/CAPELIN LIKE,,,,,,,,,,
291,BATHYLAGUS COMPSUS,BATHYLAGUS COMPSUS,,,,,,,,,,
292,BOLINICHTHYS PHOTOTHORAX,BOLINICHTHYS PHOTOTHORAX,,,,,,,,,,
293,CERATOSCOPELUS SP.,CERATOSCOPELUS SP.,,,,,,,,,,
294,SALMONIFORMES O.,SALMONIFORMES,,,,,,,,,,
295,BATHYLAGUS SP.,BATHYLAGUS,,,,,,,,,,
296,GEMPYLIDAE F.,SNAKE MACKERELS (NS),,,,,,,,,,
297,SVETOVIDOVIA SP.,SVETOVIDOVIA SP.,,,,,,,,,,
298,LOPHIIFORMES O.,LOPHIIFORMES,,,,,,,,,,
299,SCORPAENIFORMES (ORDER),SCORPAENIFORMES (ORDER),,,,,,,,,,
300,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN,,,,,,,,,,
301,MYOXOCEPHALUS SCORPIUS,SHORTHORN SCULPIN,,,,,,,,,,
302,GYMNOCANTHUS TRICUSPIS,ARCTIC STAGHORN SCULPIN,,,,,,,,,,
303,MYOXOCEPHALUS AENAEUS,GRUBBY OR LITTLE SCULPIN,,,,,,,,,,
304,TRIGLOPS MURRAYI,MAILED SCULPIN,,,,,,,,,,
305,TRIGLOPS NYBELINI,NYBELIN S SCULPIN,,,,,,,,,,
306,ARTEDIELLUS UNCINATUS,ARCTIC HOOKEAR SCULPIN,,,,,,,,,,
307,COTTUNCULUS MICROPS,POLAR SCULPIN,,,,,,,,,,
308,COTTUNCULUS THOMPSONI,PALLID SCULPIN,,,,,,,,,,
309,TRIGLOPS SP.,SCULPIN (NS),,,,,,,,,,
310,MYOXOCEPHALUS SP.,SCULPIN,,,,,,,,,,
311,COTTIDAE F. UNID.,SCULPIN UNIDENTIFIED,,,,,,,,,,
312,COTTIDAE F.,SCULPINS,,,,,,,,,,
313,ICELUS BICORNIS,TWOHORN SCULPIN,,,,,,,,,,
314,ICELUS SPATULA,SPATULATE SCULPIN,,,,,,,,,,
315,MYOXOCEPHALUS QUADRICORNIS,FOURHORN SCULPIN,,,,,,,,,,
316,MYOXOCEPHALUS SCORPIOIDES,ARCTIC SCULPIN,,,,,,,,,,
317,TRIGLOPS PINGELI,RIBBED SCULPIN,,,,,,,,,,
318,ICELUS SP.,SCULPIN,,,,,,,,,,
319,LAEMONEMA BARBATULUM,LAEMONEMA BARBATULUM,,,,,,,,,,
320,HEMITRIPTERUS AMERICANUS,SEA RAVEN,,,,,,,,,,
321,THUNNUS SP.,THUNNUS SP.,,,,,,,,,,
322,CYCLOTHONE PSEUDOPALLIDA,CYCLOTHONE PSEUDOPALLIDA,,,,,,,,,,
323,ARTEDIELLUS SP.,HOOKEAR SCULPIN (NS),,,,,,,,,,
324,MONOLENE ANTILLARUM,MONOLENE ANTILLARUM,,,,,,,,,,
325,ENGYOPHRYS SENTA,ENGYOPHRYS SENTA,,,,,,,,,,
326,SPARIDAE F.,PORGIES (NS),,,,,,,,,,
327,MYCTOPHUM ASPERUM,MYCTOPHUM ASPERUM,,,,,,,,,,
328,CHAETODONTIDAE F.,BUTTERFLYFISHES (NS),,,,,,,,,,
329,TRIGLIDAE F.,SEAROBINS,,,,,,,,,,
330,PRIONOTUS CAROLINUS,"NORTHERN,COMMON  SEAROBIN",,,,,,,,,,
331,PERISTEDION MINIATUM,ARMORED SEA ROBIN,,,,,,,,,,
332,PRIONOTUS EVOLANS,STRIPED SEAROBIN,,,,,,,,,,
333,TRICHOPSETTA ORBISULCUS,TRICHOPSETTA ORBISULCUS,,,,,,,,,,
334,CHAULIODUS DANAE,CHAULIODUS DANAE,,,,,,,,,,
335,CHAULIODUS SP.,CHAULIODUS SP.,,,,,,,,,,
336,CLUPEIDAE F.,HERRING (NS),,,,,,,,,,
337,OSMERIDAE F.,"SMELTS,CAPELIN (NS)",,,,,,,,,,
338,ARISTOSTOMIAS SP.,ARISTOSTOMIAS SP.,,,,,,,,,,
339,SYNODONTIDAE F.,LIZARDFISHES,,,,,,,,,,
340,ASPIDOPHOROIDES MONOPTERYGIUS,ALLIGATORFISH,,,,,,,,,,
341,ASPIDOPHOROIDES OLRIKI,ARCTIC ALLIGATORFISH,,,,,,,,,,
342,HYGOPHUM REINHARDTII,HYGOPHUM REINHARDTII,,,,,,,,,,
343,LAMPADENA SP.,LAMPADENA SP.,,,,,,,,,,
344,ETROPUS CROSSOTUS,FRINGED FLOUNDER,,,,,,,,,,
345,CYCLOPSETTA FIMBRIATA,SPOTFIN FLOUNDER,,,,,,,,,,
346,PLEURONECTIFORMES O.,FLATFISH,,,,,,,,,,
347,BATHYLAGUS GREYAE,BATHYLAGUS GREYAE,,,,,,,,,,
348,VINCIGUERRIA SP.,VINCIGUERRIA SP.,,,,,,,,,,
349,ELOPS SAURUS,LADYFISH,,,,,,,,,,
350,LEPTAGONUS DECAGONUS,ATLANTIC SEA POACHER,,,,,,,,,,
351,AGONIDAE F.,ALLIGATOR FISH (NS),,,,,,,,,,
352,PRIACANTHIDAE F.,BIGEYES (NS),,,,,,,,,,
353,PRIACANTHUS ARENATUS,BIGEYE,,,,,,,,,,
354,BROSMICULUS IMBERBIS,BROSMICULUS IMBERBIS,,,,,,,,,,
355,REGALECUS GLESNE,REGALECUS GLESNE,,,,,,,,,,
356,RONDELETIA LORICATA,RONDELETIA LORICATA,,,,,,,,,,
357,MELANONUS ZUGMAYERI,MELANONUS ZUGMAYERI,,,,,,,,,,
358,TRACHYSCORPIA CRISTULATA,ATLANTIC THORNYHEAD,,,,,,,,,,
359,DIPLOSPINUS MULTISTRIATUS,DIPLOSPINUS MULTISTRIATUS,,,,,,,,,,
360,GASTEROSTEIDAE F.,STICKLEBACK UNIDENTIFIED,,,,,,,,,,
361,GASTEROSTEUS ACULEATUS,THREESPINE STICKLEBACK,,,,,,,,,,
362,PUNGITIUS PUNGITIUS,NINESPINE STICKLEBACK,,,,,,,,,,
363,APELTES QUADRACUS,FOURSPINE STICKLEBACK,,,,,,,,,,
364,GASTEROSTEUS WHEATLANDI,BLACKSPOTTED STICKLEBACK,,,,,,,,,,
365,BREGMACEROS ATLANTICUS,BREGMACEROS ATLANTICUS,,,,,,,,,,
366,ANTIGONIA COMBATIA,SHORTSPINE BOARFISH,,,,,,,,,,
367,DIODON HOLOCANTHUS,BALLONFISH,,,,,,,,,,
368,MELAMPHAES PUMILUS,MELAMPHAES PUMILUS,,,,,,,,,,
369,CHLOPSIS SP.,CHLOPSIS SP.,,,,,,,,,,
370,MYCTOPHUM SP.,MYCTOPHUM SP.,,,,,,,,,,
371,HEMIPTERONOTUS SP.,HEMIPTERONOTUS SP.,,,,,,,,,,
372,THALASSOMA BIFASCIATUM,THALASSOMA BIFASCIATUM,,,,,,,,,,
373,MELANOCETUS SP.,MELANOCETUS SP.,,,,,,,,,,
374,HEMANTHIAS SP.,HEMANTHIAS SP.,,,,,,,,,,
375,ANTENNARIUS SP.,ANTENNARIUS SP.,,,,,,,,,,
376,POLYIPNUS SP.,POLYIPNUS SP.,,,,,,,,,,
377,DECAPTERUS SP.,DECAPTERUS SP.,,,,,,,,,,
378,GLOSSANODON SP.,GLOSSANODON SP.,,,,,,,,,,
379,CYCLOPSETTA SP.,CYCLOPSETTA SP.,,,,,,,,,,
380,HOLOCANTHUS SP.,HOLOCANTHUS SP.,,,,,,,,,,
381,SYMPHYSANODON SP.,SYMPHYSANODON SP.,,,,,,,,,,
382,MONOLENE SP.,MONOLENE SP.,,,,,,,,,,
383,EVERMANELLA BALBOA,EVERMANELLA BALBOA,,,,,,,,,,
384,ANTIGONIA CAPROS,DEEPBODY BOARFISH,,,,,,,,,,
385,MONOLENE SESSILICAUDA,DEEPWATER FLOUNDER,,,,,,,,,,
386,ETROPUS MICROSTOMUS,SMALLMOUTH FLOUNDER,,,,,,,,,,
387,CITHARICHTHYS CORNUTUS,HORNED WHIFF,,,,,,,,,,
388,CITHARICHTHYS GYMNORHINUS,CITHARICHTHYS GYMNORHINUS,,,,,,,,,,
389,ICHTHYOCOCCUS OVATUS,ICHTHYOCOCCUS OVATUS,,,,,,,,,,
390,MARGRETHIA OBTUSIROSTRA,MARGRETHIA OBTUSIROSTRA,,,,,,,,,,
391,FLAGELLOSTOMIAS BOUREEI,FLAGELLOSTOMIAS BOUREEI,,,,,,,,,,
392,CHIROSTOMIAS PLIOPTERUS,CHIROSTOMIAS PLIOPTERUS,,,,,,,,,,
393,EUSTOMIAS BIGELOWI,EUSTOMIAS BIGELOWI,,,,,,,,,,
394,EUSTOMIAS LIPOCHIRUS,EUSTOMIAS LIPOCHIRUS,,,,,,,,,,
395,MACROSTOMIAS LONGIBARBATUS,MACROSTOMIAS LONGIBARBATUS,,,,,,,,,,
396,PHOTOSTOMIAS GUERNEI,PHOTOSTOMIAS GUERNEI,,,,,,,,,,
397,ANTENNARIUS OCELLATUS,OCELLATED FROGFISH,,,,,,,,,,
398,ANTENNARIIDAE F.,FROGFISHES (NS),,,,,,,,,,
399,HISTRIO HISTRIO,SARGASSUMFISH,,,,,,,,,,
400,LOPHIUS AMERICANUS,"MONKFISH,GOOSEFISH,ANGLER",177,MONKFISH,,,,,,,,
401,CERATIAS HOLBOELLI,DEEPSEA ANGLER,,,,,,,,,,
402,CRYPTOPSARAS COUESI,TRIPLE WART SEA DEVIL,,,,,,,,,,
403,HIMANTOLOPHUS GROENLANDICUS,ATLANTIC FOOTBALLFISH,,,,,,,,,,
404,HIMANTOLOPHUS SP.,HIMANTOLOPHUS SP.,,,,,,,,,,
405,CAULOPHRYNE JORDANI,CAULOPHRYNE JORDANI,,,,,,,,,,
406,LINOPHRYNE ALGIBARBATA,LINOPHRYNE ALGIBARBATA,,,,,,,,,,
407,LINOPHRYNE CORONATA,LINOPHRYNE CORONATA,,,,,,,,,,
408,LINOPHRYNE LUCIFERA,LINOPHRYNE LUCIFERA,,,,,,,,,,
409,MALACOCEPHALUS OCCIDENTALIS,AMERICAN STRAPTAIL GRENADIER,,,,,,,,,,
410,NEZUMIA BAIRDII,MARLIN-SPIKE GRENADIER,,,,,,,,,,
411,MACROURUS BERGLAX,ROUGHHEAD GRENADIER,182,ROUGHHEAD GRENADIER,,,,,,,,
412,TRACHYRINCUS MURRAYI,ROUGHNOSE GRENADIER,,,,,,,,,,
413,CAELORINCHUS CAELORINCHUS,LONGNOSE GRENADIER,,,,,,,,,,
414,CORYPHAENOIDES RUPESTRIS,ROCK GRENADIER(ROUNDNOSE),179,ROUNDNOSE GRENADIER,,,,,,,,
415,CAULOPHRYNIDAE F.,CAULOPHRYNIDAE,,,,,,,,,,
416,MACROURIDAE F.,GRENADIERS (NS),,,,,,,,,,
417,HETEROPHOTUS SP.,HETEROPHOTUS SP.,,,,,,,,,,
418,GIGANTACTIS SP.,GIGANTACTIS,,,,,,,,,,
419,PHOTONECTES MARGARITA,PHOTONECTES MARGARITA,,,,,,,,,,
420,GERREIDAE F.,MOJARRA (NS),,,,,,,,,,
421,MICROSTOMA MICROSTOMA,MICROSTOMA MICROSTOMA,,,,,,,,,,
422,ARGYROPELECUS AFFINIS,ARGYROPELECUS AFFINIS,,,,,,,,,,
423,DIAPHUS LUCIDUS,DIAPHUS LUCIDUS,,,,,,,,,,
424,DIAPHUS GARMANI,DIAPHUS GARMANI,,,,,,,,,,
425,MURAENIDAE F.,"EELS,MORAY (NS)",,,,,,,,,,
426,ANARCHIAS YOSHIAE,PYGMY MORAY,,,,,,,,,,
427,GYMNOTHORAX SP.,GYMNOTHORAX SP.,,,,,,,,,,
428,DIAPHUS BRACHYCEPHALUS,DIAPHUS BRACHYCEPHALUS,,,,,,,,,,
429,CONGRIDAE F.,"EELS,CONGER",,,,,,,,,,
430,ARIOSOMA SP.,ARIOSOMA SP.,,,,,,,,,,
431,CONGER SP.,CONGER SP.,,,,,,,,,,
432,HILDEBRANDIA SP.,HILDEBRANDIA SP.,,,,,,,,,,
433,NYSTACTICHTHYS SP.,NYSTACTICHTHYS SP.,,,,,,,,,,
434,PARACONGER SP.,PARACONGER SP.,,,,,,,,,,
435,PSEUDOPHICHTHUS SPLENDENS,PSEUDOPHICHTHUS SPLENDENS,,,,,,,,,,
436,RHECHIAS SP.,RHECHIAS SP.,,,,,,,,,,
437,UROCONGER SP.,UROCONGER SP.,,,,,,,,,,
438,UROCONGER SYRINGINUS,UROCONGER SYRINGINUS,,,,,,,,,,
439,DIAPHUS SPLENDIDUS,DIAPHUS SPLENDIDUS,,,,,,,,,,
440,OPHICHTHIDAE F.,SNAKE EELS (NS),,,,,,,,,,
441,AHLIA EGMONTIS,AHLIA EGMONTIS,,,,,,,,,,
442,APTERICHTUS ANSP,ACADEMY EEL,,,,,,,,,,
443,APTERICHTUS KENDALLI,FINLESS EEL,,,,,,,,,,
444,BASCANICHTHYS BASCANIUM,BASCANICHTHYS BASCANIUM,,,,,,,,,,
445,CALLECHELYS SP.,CALLECHELYS SP.,,,,,,,,,,
446,CALLECHELYS MURAENA,CALLECHELYS MURAENA,,,,,,,,,,
447,ECHIOPHIS SP.,ECHIOPHIS SP.,,,,,,,,,,
448,MYROPHIS PLATYRHYNCHUS,MYROPHIS PLATYRHYNCHUS,,,,,,,,,,
449,MYROPHIS PUNCTATUS,MYROPHIS PUNCTATUS,,,,,,,,,,
450,OPHICHTHUS SP.,OPHICHTHUS SP.,,,,,,,,,,
451,OPHICHTHUS GOMESI,SHRIMP EEL,,,,,,,,,,
452,OPHICHTHUS OCELLATUS,"EEL,PALESPOTTED",,,,,,,,,,
453,DIAPHUS BERTELSENI,DIAPHUS BERTELSENI,,,,,,,,,,
454,LOWEINA RARA,LOWEINA RARA,,,,,,,,,,
455,SYNAPHOBRANCHIDAE F.,"EELS, CUTTHROAT (NS)",,,,,,,,,,
456,SYNAPHOBRANCHINAE S.F.,SYNAPHOBRANCHINAE S.F.,,,,,,,,,,
457,SIMENCHELYINAE S.F.,"EELS,SNUBNOSE (NS)",,,,,,,,,,
458,DYSOMMINAE S.F.,DYSOMMINAE S.F.,,,,,,,,,,
459,DYSOMMA SP.,DYSOMMA SP.,,,,,,,,,,
460,LAMPANYCTUS INTRICARIUS,LAMPANYCTUS INTRICARIUS,,,,,,,,,,
461,LAMPADENA ATLANTICA,LAMPADENA ATLANTICA,,,,,,,,,,
462,BOLINICHTHYS SUPRALATERALIS,BOLINICHTHYS SUPRALATERALIS,,,,,,,,,,
463,NEMICHTHYIDAE F.,"EELS,SNIPE (NS)",,,,,,,,,,
464,NEMICHTHYS SP.,NEMICHTHYS SP.,,,,,,,,,,
465,LAMPANYCTUS PHOTONOTUS,LAMPANYCTUS PHOTONOTUS,,,,,,,,,,
466,DIOGENICHTHYS ATLANTICUS,DIOGENICHTHYS ATLANTICUS,,,,,,,,,,
467,HYGOPHUM TAANINGI,HYGOPHUM TAANINGI,,,,,,,,,,
468,CERATOSCOPELUS WARMINGII,CERATOSCOPELUS WARMINGII,,,,,,,,,,
469,LEPIDOPHANES GAUSSI,LEPIDOPHANES GAUSSI,,,,,,,,,,
470,MORINGUIDEA F.,MORINGUIDEA F.,,,,,,,,,,
471,MORGINUA EDWARDSI,MORGINUA EDWARDSI,,,,,,,,,,
472,NEOCONGER MUCRONATUS,NEOCONGER MUCRONATUS,,,,,,,,,,
473,BENTHOSEMA SUBORBITALE,BENTHOSEMA SUBORBITALE,,,,,,,,,,
474,MYCTOPHUM NITIDULUM,MYCTOPHUM NITIDULUM,,,,,,,,,,
475,NETTASTOMATIDAE F.,NETTASTOMATIDAE F.,,,,,,,,,,
476,NETTASTOMA SP.,NETTASTOMA SP.,,,,,,,,,,
477,HOPLUNNIS SP.,HOPLUNNIS SP.,,,,,,,,,,
478,NOTOSCOPELUS CAUDISPINOSUS,NOTOSCOPELUS CAUDISPINOSUS,,,,,,,,,,
479,MACROPARALEPIS AFFINE,MACROPARALEPIS AFFINE,,,,,,,,,,
480,XENOCONGRIDAE F.,XENOCONGRIDAE F.,,,,,,,,,,
481,CHLOPSIS BICOLOR,CHLOPSIS BICOLOR,,,,,,,,,,
482,KAUPICHTHYS HYOPROROIDES,KAUPICHTHYS HYOPROROIDES,,,,,,,,,,
483,LESTROLEPIS INTERMEDIA,LESTROLEPIS INTERMEDIA,,,,,,,,,,
484,PARALEPIS ELONGATA,PARALEPIS ELONGATA,,,,,,,,,,
485,MURAENESOCIDAE F.,MURAENESOCIDAE F.,,,,,,,,,,
486,PARAXENOMYSTAX SP.,PARAXENOMYSTAX SP.,,,,,,,,,,
487,LESTIDIOPS SP.,LESTIDIOPS SP.,,,,,,,,,,
488,EVERMANELLA INDICA,EVERMANELLA INDICA,,,,,,,,,,
489,SCOPELOSAURUS ARGENTEUS,SCOPELOSAURUS ARGENTEUS,,,,,,,,,,
490,HALOSAURIDAE F.,HALOSAURUS (NS),,,,,,,,,,
491,TILUROPSIS SP.,TILUROPSIS SP.,,,,,,,,,,
492,SCOPELOSAURUS SMITHII,SCOPELOSAURUS SMITHII,,,,,,,,,,
493,MELAMPHAES TYPHLOPS,MELAMPHAES TYPHLOPS,,,,,,,,,,
494,SCOPELOBERYX ROBUSTUS,SCOPELOBERYX ROBUSTUS,,,,,,,,,,
495,PTERYCOMBUS BRAMA,PTERYCOMBUS BRAMA,,,,,,,,,,
496,DRACONETTA ACANTHOPOMA,DRACONETTA ACANTHOPOMA,,,,,,,,,,
497,PRISTIPOMOIDES AQUILONARIS,PRISTIPOMOIDES AQUILONARIS,,,,,,,,,,
498,ANTHIAS NICHOLSI,YELLOWFIN BASS,,,,,,,,,,
499,OPHICHTHUS PUNCTICEPS,OPHICHTHUS PUNCTICEPS,,,,,,,,,,
500,LIPARIS SP.,SEASNAIL UNIDENTIFIED,,,,,,,,,,
501,CYCLOPTERUS LUMPUS,LUMPFISH,176,LUMPFISH,,,,,,,,
502,EUMICROTREMUS SPINOSUS,ATLANTIC SPINY LUMPSUCKER,,,,,,,,,,
503,LIPARIS ATLANTICUS,ATLANTIC SEASNAIL,,,,,,,,,,
504,LIPARIS LIPARIS,STRIPED SEASNAIL,,,,,,,,,,
505,LIPARIS FABRICII,"SEASNAIL,GELATINOUS",,,,,,,,,,
506,LIPARIS TUNICATUS,GREENLAND SEASNAIL,,,,,,,,,,
507,CAREPROCTUS LONGIPINNIS,LONGFIN SEASNAIL,,,,,,,,,,
508,LIPARIS INQUILINUS,INQUILINE SEASNAIL,,,,,,,,,,
509,EUMICROTREMUS DERJUGINI,LEATHERFIN LUMPSUCKER,,,,,,,,,,
510,OPSANUS TAU,TOAD FISH,,,,,,,,,,
511,PARALIPARIS COPEI,BLACKSNOUT SEASNAIL,,,,,,,,,,
512,LIPARIS GIBBUS,"SEASNAIL,DUSKY",,,,,,,,,,
513,LIPARIS COHENI,GULF SEA SNAIL,,,,,,,,,,
514,CYCLOPTERIDAE F.,"LUMPFISHES,SEASNAILS (NS)",,,,,,,,,,
515,CAREPROCTUS  SP.,SEA TADPOLE(NS),,,,,,,,,,
516,SERRANUS SP.,SERRANUS SP.,,,,,,,,,,
517,AHLIESAURUS BERRYI,AHLIESAURUS BERRYI,,,,,,,,,,
518,ARISTOSTOMIAS LUNIFER,ARISTOSTOMIAS LUNIFER,,,,,,,,,,
519,ARISTOSTOMIAS POLYDACTYLUS,ARISTOSTOMIAS POLYDACTYLUS,,,,,,,,,,
520,CAREPROCTUS REINHARDTI,SEA TADPOLE,,,,,,,,,,
521,ASTRONESTHES CYANEUS,ASTRONESTHES CYANEUS,,,,,,,,,,
522,ASTRONESTHES LEUCOPOGON,ASTRONESTHES LEUCOPOGON,,,,,,,,,,
523,ASTRONESTHES NIGER,ASTRONESTHES NIGER,,,,,,,,,,
524,ASTRONESTHES SIMILIS,ASTRONESTHES SIMILIS,,,,,,,,,,
525,BATHOPHILUS PROXIMUS,BATHOPHILUS PROXIMUS,,,,,,,,,,
526,BATHYLAGUS BERYCOIDES,BATHYLAGUS BERYCOIDES,,,,,,,,,,
527,BENTHALBELLA INFANS,BENTHALBELLA INFANS,,,,,,,,,,
528,BENTHODESMUS SP.,BENTHODESMUS SP.,,,,,,,,,,
529,BOLINICHTHYS INDICUS,BOLINICHTHYS INDICUS,,,,,,,,,,
530,CHAUNAX SP.,GAPPER,,,,,,,,,,
531,CUBICEPS SP.,CUBICEPS SP.,,,,,,,,,,
532,CUBICEPS GRACILIS,CUBICEPS GRACILIS,,,,,,,,,,
533,COCCORELLA ATLANTICA,COCCORELLA ATLANTICA,,,,,,,,,,
534,CUBICEPS CAPENSIS,CUBICEPS CAPENSIS,,,,,,,,,,
535,DIAPHUS FRAGILIS,DIAPHUS FRAGILIS,,,,,,,,,,
536,DIAPHUS HOLTI,DIAPHUS HOLTI,,,,,,,,,,
537,DIAPHUS ROEI,DIAPHUS ROEI,,,,,,,,,,
538,DIPLOPHOS TAENIA,DIPLOPHOS TAENIA,,,,,,,,,,
539,DOLICHOPTERYX BINOCULARIS,DOLICHOPTERYX BINOCULARIS,,,,,,,,,,
540,DIAPHUS TAANINGI,DIAPHUS TAANINGI,,,,,,,,,,
541,ECHIOSTOMA BARBATUM,ECHIOSTOMA BARBATUM,,,,,,,,,,
542,EUSTOMIAS BIBULBOSUS,EUSTOMIAS BIBULBOSUS,,,,,,,,,,
543,EUSTOMIAS DUBIUS,EUSTOMIAS DUBIUS,,,,,,,,,,
544,EUSTOMIAS FILIFER,EUSTOMIAS FILIFER,,,,,,,,,,
545,EUSTOMIAS OBSCURUS,EUSTOMIAS OBSCURUS,,,,,,,,,,
546,EUSTOMIAS SCHMIDTI,EUSTOMIAS SCHMIDTI,,,,,,,,,,
547,EUSTOMIAS TETRANEMA,EUSTOMIAS TETRANEMA,,,,,,,,,,
548,GONOSTOMA  SP.,ANGLEMOUTHS (NS),,,,,,,,,,
549,LAMPADENA CHAVESI,LAMPADENA CHAVESI,,,,,,,,,,
550,LAMPANYCTUS LINEATUS,LAMPANYCTUS LINEATUS,,,,,,,,,,
551,LAMPANYCTUS NOBILIS,LAMPANYCTUS NOBILIS,,,,,,,,,,
552,LEPIDOPHANES SP.,LEPIDOPHANES SP.,,,,,,,,,,
553,LESTIDIOPS AFFINIS,LESTIDIOPS AFFINIS,,,,,,,,,,
554,LINOPHRYNE SP.,LINOPHRYNE SP.,,,,,,,,,,
555,LOPHOTUS LACEPEDEI,LOPHOTUS LACEPEDEI,,,,,,,,,,
556,MACRORHAMPHOSUS SCOLOPAX,LONGSPINE SNIPEFISH,,,,,,,,,,
557,MELAMPHAES SUBORBITALIS,MELAMPHAES SUBORBITALIS,,,,,,,,,,
558,MELAMPHAEIDAE,MELAMPHAEIDAE,,,,,,,,,,
559,MYCTOPHUM SELENOPS,MYCTOPHUM SELENOPS,,,,,,,,,,
560,OSTEICHTHYES C.,"FISHES,BONY (NS)",,,,,,,,,,
561,NANSENIA OBLITA,NANSENIA OBLITA,,,,,,,,,,
562,NEMICHTHYS CURVIROSTRIS,NEMICHTHYS CURVIROSTRIS,,,,,,,,,,
563,NEOEPINNULA ORIENTALIS,NEOEPINNULA ORIENTALIS,,,,,,,,,,
564,OPISTHOPROCTUS SOLEATUS,OPISTHOPROCTUS SOLEATUS,,,,,,,,,,
565,PARALEPIS  SP.,BARRACUDINA (NS),,,,,,,,,,
566,PHOTONECTES SP.,PHOTONECTES SP.,,,,,,,,,,
567,NEOCONGER SP.,NEOCONGER SP.,,,,,,,,,,
568,POECILOPSETTA SP.,POECILOPSETTA SP.,,,,,,,,,,
569,POROMITRA SP.,POROMITRA SP.,,,,,,,,,,
570,SCOPELARCHUS MICHAELSARSI,SCOPELARCHUS MICHAELSARSI,,,,,,,,,,
571,SCOPELOGADUS SP.,SCOPELOGADUS SP.,,,,,,,,,,
572,SCOPELOSAURUS SP.,SCOPELOSAURUS (NS),,,,,,,,,,
573,SQUALIOLUS LATICAUDUS,SQUALIOLUS LATICAUDUS,,,,,,,,,,
574,STOMIAS BREVIBARBATUS,STOMIAS BREVIBARBATUS,,,,,,,,,,
575,STYLEPHORUS CHORDATUS,STYLEPHORUS CHORDATUS,,,,,,,,,,
576,SYNAGROPS BELLA,BLACKMOUTH BASS,,,,,,,,,,
577,ZENION HOLOLEPIS,ZENION HOLOLEPIS,,,,,,,,,,
578,CHAETODON SP.,CHAETODON SP.,,,,,,,,,,
579,ARIOSOMA BALEARICUM,BANDTOOTH CONGER,,,,,,,,,,
580,PERISTEDION SP.,PERISTEDION SP.,,,,,,,,,,
581,BATHYCLUPEA ARGENTEA,BATHYCLUPEA ARGENTEA,,,,,,,,,,
582,EPIGONUS OCCIDENTALIS,EPIGONUS OCCIDENTALIS,,,,,,,,,,
583,ARISTOSTOMIAS PHOTODACTYLUS,ARISTOSTOMIAS PHOTODACTYLUS,,,,,,,,,,
584,ACANTHURUS SP.,ACANTHURUS SP.,,,,,,,,,,
585,CORYPHAENA EQUISELIS,CORYPHAENA EQUISELIS,,,,,,,,,,
586,PARABLENNIUS MARMOREUS,SEAWEED BLENNY,,,,,,,,,,
587,EPIGONUS PANDIONIS,EPIGONUS PANDIONIS,,,,,,,,,,
588,SCOPELOSAURUS LEPIDUS,SCOPELOSAURUS LEPIDUS,,,,,,,,,,
589,RAJA BIGELOW,RAJA BIGELOW,,,,,,,,,,
590,AMMODYTIDAE F.,SAND LANCES (NS),,,,,,,,,,
591,BREVIRAJA SPINOSA,BREVIRAJA SPINOSA,,,,,,,,,,
592,SHARK (NS),SHARK (NS),,,,,,,,,,
593,CHLOROPHTHALMIDAE,GREENEYES (NS),,,,,,,,,,
594,ALEPOCEPHALUS AGASSIZII,"SMOOTHHEAD,AGASSIZ'S",,,,,,,,,,
595,CYTTOPSIS ROSEA,RED DORY,,,,,,,,,,
596,BAJACALIFORNIA MEGALOPS,BIGEYE SMOOTH-HEAD,,,,,,,,,,
597,BLENNIIDAE SP.,BLENNIIDAE SP.,,,,,,,,,,
598,ZOARCIDAE F.,EELPOUTS (NS),,,,,,,,,,
599,AMMODYTES AMERICANUS,AMERICAN SAND LANCE,,,,,,,,,,
600,ANGUILLA ROSTRATA,AMERICAN EEL,,,,,,,,,,
601,SIMENCHELYS PARASITICA,"SNUBNOSE EEL, SLIME EEL",,,,,,,,,,
602,SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,,,,,,,,,,
603,LYCENCHELYS VERRILLI,WOLF EELPOUT,,,,,,,,,,
604,NEMICHTHYS SCOLOPACEUS,SNIPE EEL,,,,,,,,,,
605,BLENNIOIDEI S.O.,"BLENNIES,SHANNIES,GUNNELS -OBS-",,,,,,,,,,
606,GYMNOTHORAX FUNEBRIS,GREEN MORAY,,,,,,,,,,
607,NESSORHAMPHUS INGOLFIANUS,DUCKBILL OCEANIC EEL,,,,,,,,,,
608,CONGER OCEANICUS,CONGER EEL,,,,,,,,,,
609,OPHICHTHUS CRUENTIFER,SNAKE EEL,,,,,,,,,,
610,AMMODYTES DUBIUS,NORTHERN SAND LANCE,,,,,,,,,,
611,AMMODYTES SP.,SAND LANCE (NS),,,,,,,,,,
612,DERICHTHYS SERPENTINUS,DERICHTHYS SERPENTINUS,,,,,,,,,,
613,SERRIVOMER BEANI,STOUT SAWPALATE,,,,,,,,,,
614,EURYPHARYNX PELECANOIDES,PELICAN GULPER,,,,,,,,,,
615,LIPOGENYS GILLII,BACKFIN TAPIRFISH,,,,,,,,,,
